[1] 9040
1:0:d=2016042018:UGRD:planetary boundary layer:anl:
2:93399:d=2016042018:VGRD:planetary boundary layer:anl:
3:188841:d=2016042018:VRATE:planetary boundary layer:anl:
4:282936:d=2016042018:GUST:surface:anl:
85:13455715:d=2016042018:HGT:350 mb:3 hour fcst:
86:13662809:d=2016042018:TMP:350 mb:3 hour fcst:
87:13757698:d=2016042018:RH:350 mb:3 hour fcst:
88:13974512:d=2016042018:VVEL:350 mb:3 hour fcst:
89:14244763:d=2016042018:UGRD:350 mb:3 hour fcst:
90:14381388:d=2016042018:VGRD:350 mb:3 hour fcst:
91:14520330:d=2016042018:ABSV:350 mb:3 hour fcst:
92:14701032:d=2016042018:CLWMR:350 mb:3 hour fcst:
93:14774397:d=2016042018:O3MR:350 mb:3 hour fcst:
94:15092475:d=2016042018:HGT:400 mb:3 hour fcst:
95:15294630:d=2016042018:TMP:400 mb:3 hour fcst:
96:15392242:d=2016042018:RH:400 mb:3 hour fcst:
97:15616037:d=2016042018:VVEL:400 mb:3 hour fcst:
98:15892711:d=2016042018:UGRD:400 mb:3 hour fcst:
99:16033532:d=2016042018:VGRD:400 mb:3 hour fcst:
100:16176730:d=2016042018:ABSV:400 mb:3 hour fcst:
101:16361214:d=2016042018:CLWMR:400 mb:3 hour fcst:
102:16432755:d=2016042018:O3MR:400 mb:3 hour fcst:
103:16741476:d=2016042018:HGT:450 mb:3 hour fcst:
104:16973307:d=2016042018:TMP:450 mb:3 hour fcst:
105:17073235:d=2016042018:RH:450 mb:3 hour fcst:
106:17294622:d=2016042018:VVEL:450 mb:3 hour fcst:
107:17574885:d=2016042018:UGRD:450 mb:3 hour fcst:
108:17808479:d=2016042018:VGRD:450 mb:3 hour fcst:
109:18058455:d=2016042018:ABSV:450 mb:3 hour fcst:
110:18245110:d=2016042018:CLWMR:450 mb:3 hour fcst:
111:18316377:d=2016042018:HGT:500 mb:3 hour fcst:
112:18548667:d=2016042018:TMP:500 mb:3 hour fcst:
113:18652529:d=2016042018:RH:500 mb:3 hour fcst:
114:18878290:d=2016042018:VVEL:500 mb:3 hour fcst:
115:19167012:d=2016042018:UGRD:500 mb:3 hour fcst:
116:19405350:d=2016042018:VGRD:500 mb:3 hour fcst:
117:19646935:d=2016042018:ABSV:500 mb:3 hour fcst:
118:19837493:d=2016042018:CLWMR:500 mb:3 hour fcst:
119:19908690:d=2016042018:HGT:550 mb:3 hour fcst:
120:20140173:d=2016042018:TMP:550 mb:3 hour fcst:
121:20245110:d=2016042018:RH:550 mb:3 hour fcst:
122:20473336:d=2016042018:VVEL:550 mb:3 hour fcst:
123:20766464:d=2016042018:UGRD:550 mb:3 hour fcst:
124:21005449:d=2016042018:VGRD:550 mb:3 hour fcst:
125:21245143:d=2016042018:ABSV:550 mb:3 hour fcst:
126:21437040:d=2016042018:CLWMR:550 mb:3 hour fcst:
127:21508267:d=2016042018:HGT:600 mb:3 hour fcst:
128:21749033:d=2016042018:TMP:600 mb:3 hour fcst:
129:21859385:d=2016042018:RH:600 mb:3 hour fcst:
130:22090540:d=2016042018:VVEL:600 mb:3 hour fcst:
131:22391672:d=2016042018:UGRD:600 mb:3 hour fcst:
132:22634074:d=2016042018:VGRD:600 mb:3 hour fcst:
133:22879372:d=2016042018:ABSV:600 mb:3 hour fcst:
134:23075135:d=2016042018:CLWMR:600 mb:3 hour fcst:
135:23147753:d=2016042018:HGT:650 mb:3 hour fcst:
136:23388883:d=2016042018:TMP:650 mb:3 hour fcst:
